"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"3","1025099999","9.44","69.683333","18.918919","1990-01-01","2019-12-31",-2.8,-2.98,-1.72,1.34,5.55,9.32,12.1,11.24,7.87,3.27,0.25,-1.35
"5","1384099999","207.56","60.193917","11.100361","1990-01-01","2019-12-31",-4.63,-4.11,-0.39,4.62,10.33,14.05,16.63,15.13,10.71,5.02,0.23,-3.62
"7","2464099999","14.32","59.354372","17.94165","1990-01-01","2019-12-31",-1.51,-1.44,1.29,6.05,11.38,15.55,18.55,17.44,12.65,7.25,3.12,0.1
"9","2845099999","196.59","66.564822","25.830411","1990-01-01","2019-12-31",-10.57,-9.96,-5.66,0.07,6.35,12.22,15.47,12.96,7.53,0.68,-4.67,-7.69
"11","2974099999","54.55","60.317222","24.963333","1990-01-01","2019-12-31",-4.38,-4.78,-1.41,4.44,10.63,14.93,18,16.38,11.33,5.6,1.21,-1.86
"13","3091099999","65.53","57.201944","-2.197778","1990-01-01","2019-12-31",3.94,4.2,5.49,7.2,9.62,12.27,14.37,14.22,12.24,9.28,6.23,4.01
"15","3772099999","25.29","51.4775","-0.461389","1990-01-01","2019-12-31",5.69,5.86,7.79,10.1,13.44,16.46,18.69,18.3,15.5,12.08,8.37,6.04
"17","3917099999","81.68","54.6575","-6.215833","1990-01-01","2019-12-31",4.79,4.88,6.15,8.05,10.84,13.39,15.07,14.75,12.84,10.01,7.02,5.07
"19","4030099999","14.63","64.13","-21.940556","1990-01-01","2019-12-31",0.71,0.52,1.15,3.58,6.77,9.84,11.7,11.14,8.6,4.93,2.34,0.75
"21","4250099999","84","64.1666666","-51.75","1990-01-01","2019-12-31",-7.64,-8.78,-7.65,-3.02,1.38,5.44,7.97,7.37,4.2,0.2,-3.35,-5.82
"23","6180099999","5.18","55.617917","12.655972","1990-01-01","2019-12-31",1.43,1.42,3.31,7.29,11.89,15.35,17.91,17.66,14.08,9.73,5.72,2.81
"25","6240099999","-3.35","52.308613","4.763889","1990-01-01","2019-12-31",3.85,4.12,6.54,9.71,13.34,15.9,18.07,17.9,15.04,11.33,7.31,4.56
"27","6630399999","510.23","46.9141","7.497153","1990-01-01","2019-12-31",0.56,1.57,5.96,9.57,14.14,17.87,19.73,19.26,14.68,10.14,4.63,1.01
"29","7149099999","88.69","48.725278","2.359444","1990-01-01","2019-12-31",4.64,5.04,8.16,10.96,14.88,18.02,20.24,20.02,16.1,12.23,7.7,5.12
"31","7510099999","49.37","44.828335","-0.715556","1990-01-01","2019-12-31",6.66,7.35,10.32,12.5,16.25,19.44,21.32,21.44,18.25,14.59,9.81,7.17
"33","8221099999","609.6","40.493556","-3.566764","1990-01-01","2019-12-31",5.45,6.89,10.31,12.8,17.06,22.74,26.13,25.66,20.75,15.03,9.24,5.89
"35","8536099999","113.99","38.781311","-9.135919","1990-01-01","2019-12-31",11.28,11.99,14.13,15.47,18.02,20.84,22.6,23.18,21.5,18.55,14.42,12.02
"37","8594099999","53.94","16.741389","-22.949444","1990-01-01","2019-12-31",21.74,21.36,21.69,22.16,22.92,23.87,25.1,26.57,27.13,26.47,24.88,23.06
