"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"3","1025099999","9.44","69.683333","18.918919","1990-01-01","2019-12-31",4.28,4.11,5,8,14,18,21.28,19.22,15.28,10,7,5.61
"5","1384099999","207.56","60.193917","11.100361","1990-01-01","2019-12-31",4,5.28,9.72,15.72,22.72,24.61,27,25.22,19.61,13.11,8.11,5.5
"7","2464099999","14.32","59.354372","17.94165","1990-01-01","2019-12-31",5.61,6.5,11,17,23,25.39,28.5,26.61,21.11,15,10,7.22
"9","2845099999","196.59","66.564822","25.830411","1990-01-01","2019-12-31",0,0.22,3.5,9.78,18.39,23,25.39,22.39,16.5,8.72,3.11,1.11
"11","2974099999","54.55","60.317222","24.963333","1990-01-01","2019-12-31",3.39,3.72,8,16,22.89,25.5,28,26,20.22,13.28,8.39,6
"13","3091099999","65.53","57.201944","-2.197778","1990-01-01","2019-12-31",10.39,11.61,13.78,15.5,18.11,20.28,22,21.72,19.5,16,12.89,11.11
"15","3772099999","25.29","51.4775","-0.461389","1990-01-01","2019-12-31",12.39,13,16,19.72,24,26.22,29.11,27.89,24.11,19.39,15,13
"17","3917099999","81.68","54.6575","-6.215833","1990-01-01","2019-12-31",11,11.11,13,16,19.61,21.78,23,21.78,19.61,16.11,13,11.72
"19","4030099999","14.63","64.13","-21.940556","1990-01-01","2019-12-31",8,7.89,8.22,10.28,13.22,16,18.22,16.78,14.28,11.39,9.5,8.39
"21","4250099999","84","64.1666666","-51.75","1990-01-01","2019-12-31",4,3,4.11,6.72,10,15.28,17.22,16,11,8,5.39,4.22
"23","6180099999","5.18","55.617917","12.655972","1990-01-01","2019-12-31",8,8,11.28,16.72,22,23.89,27,26,21,16,11.28,8.89
"25","6240099999","-3.35","52.308613","4.763889","1990-01-01","2019-12-31",11,11.72,15,20.28,24.5,25.39,28,27.22,23.11,18.61,14,11.39
"27","6630399999","510.23","46.9141","7.497153","1990-01-01","2019-12-31",10,12,17,22,25,29,31,30,25,20,14,10
"29","7149099999","88.69","48.725278","2.359444","1990-01-01","2019-12-31",12.28,13.72,18.22,22.39,26,29.22,32,32,27,21.78,15.61,13
"31","7510099999","49.37","44.828335","-0.715556","1990-01-01","2019-12-31",15.11,17.28,21.39,24.22,28.28,31.61,33.39,34.22,29.89,25,18.61,15.39
"33","8221099999","609.6","40.493556","-3.566764","1990-01-01","2019-12-31",15,18,22.61,26,30.28,35.78,38,37,33,27,20,15
"35","8536099999","113.99","38.781311","-9.135919","1990-01-01","2019-12-31",17,19,24,26,30,32,35,35,32,28,21,18
"37","8594099999","53.94","16.741389","-22.949444","1990-01-01","2019-12-31",27,27.39,28,27.61,28,28.78,30,31.72,32,32,30.5,28
"39","10637099999","110.94","50.026421","8.543125","1990-01-01","2019-12-31",11,12.39,17,23,26.72,30,32.28,31.5,26,20,14,11
"41","11036099999","182.88","48.110278","16.569722","1990-01-01","2019-12-31",10.11,13.11,18,23,26.5,30.22,32.11,32.22,26.28,21,14.78,10
"43","12375099999","110.33","52.16575","20.967122","1990-01-01","2019-12-31",8,9.5,15,21.72,26.22,29,30.72,30,24.61,20,12.5,8.28
"45","12839099999","150.87","47.436933","19.255592","1990-01-01","2019-12-31",9,12,18,23,28,31,33,34,28,23,15,9
"47","13272099999","102.1","44.818444","20.309139","1990-01-01","2019-12-31",12.5,16,21,24.39,29,33,35,35,30,25.61,20,13
"49","13615099999","38.4","41.414742","19.720561","1990-01-01","2019-12-31",16.5,18,21.22,24.11,29.89,34,35.39,36.11,32.5,27.5,22.5,18
"51","15421099999","95.7","44.570992","26.085119","1990-01-01","2019-12-31",9.78,14,20,24,29,33,34,34.39,30,25,18,10.22
"53","15614099999","530.96","42.695194","23.406167","1990-01-01","2019-12-31",11,15,20.39,23.61,27.72,31,34,34,30,25,18.5,12
"55","16105099999","2.13","45.505142","12.351883","1990-01-01","2019-12-31",11.22,13.28,17.61,22,26.39,30.11,32,32.78,27.78,23,17.22,12.22
"57","16560099999","3.96","39.251469","9.054283","1990-01-01","2019-12-31",17.22,18,21,23.39,28,32.78,35,35.28,31,27.22,22.22,18.61
"59","16597099999","91.44","35.857497","14.4775","1990-01-01","2019-12-31",18,18.28,20.39,23.22,28,33,35,35,31.22,28.11,23.78,19.72
"61","16754099999","35.05","35.339719","25.180297","1990-01-01","2019-12-31",19,19.39,22,25,28,30.5,32,31.39,30,28,24.5,21
"63","17038099999","31.69","40.995108","39.789728","1990-01-01","2019-12-31",17.5,19,21.61,23.22,23.72,27.28,29,29.78,27.39,25.22,22.5,19.61
"65","17060099999","49.68","40.976892","28.821111","1990-01-01","2019-12-31",14,15.22,18.39,22.61,27,31,33,33.11,29.78,25,20.39,16
"67","17128099999","952.5","40.128082","32.995083","1990-01-01","2019-12-31",9.5,13.28,18.28,23,27.39,31,34.72,34.22,31.11,26,19,11.11
"69","17170099999","1670.3","38.468219","43.3323","1990-01-01","2019-12-31",6.28,7,13,18.5,22.22,27,30.11,30.61,27,22,14.61,9.22
"73","22113099999","81.07","68.781672","32.750822","1990-01-01","2019-12-31",0.39,1.22,3,8.61,16.39,22,25,22,16.61,8.61,3,2
"75","22550099999","18.89","64.600281","40.716667","1990-01-01","2019-12-31",0.22,1,4,11.5,21.39,25.39,28,24,18.11,10.11,4,1.78
"79","23226099999","172","67.4833333","64.0166666","1990-01-01","2019-12-31",-5.78,-4.89,-1.11,2.61,10,23.11,27.39,20.5,14.61,5.5,-0.28,-2.5
"81","23849099999","60.96","61.343694","73.401842","1990-01-01","2019-12-31",-5.39,-4,3,10.61,22,28,29,25.22,18.89,10,0.89,-3
"83","25913099999","174.95","59.910989","150.720439","1990-01-01","2019-12-31",-5.22,-5.22,0,5,15,22,24,23,17,7.22,0.22,-5.11
"85","26063099999","24.07","59.800292","30.262503","1990-01-01","2019-12-31",3,3.61,8,17.22,23.72,26.39,29,27,21,14,8,5
"87","26730099999","196.9","54.634133","25.285767","1990-01-01","2019-12-31",4.11,5.22,11.28,20,25,27.28,29.11,28.5,22.5,16.11,9.11,5
"89","27515599999","189.58","55.972642","37.414589","1990-01-01","2019-12-31",2,2,8,19,25,28,30,28,23,15,7,3
"91","27595099999","126.18","55.606186","49.278728","1990-01-01","2019-12-31",0.22,1,4.22,19,27,29.22,30.89,30,24,15,5.22,1.11
"93","28440099999","232.86","56.743108","60.802728","1990-01-01","2019-12-31",-1.72,1,5.89,17.78,26.28,29,30,28.5,22,15.28,4.28,0
"95","28698099999","94.79","54.967042","73.310514","1990-01-01","2019-12-31",-2.61,-1.39,3.61,20,28,31,31,29,24,16.5,4,-1
"97","29634099999","111.25","55.012622","82.650656","1990-01-01","2019-12-31",-3,-1.22,4.5,18,26.61,29,29.28,28,23,16,4,-1
"99","29846099999","308","53.7333333","87.1833333","1990-01-01","2019-12-31",-2.5,0,7,18.5,26.28,28.72,30,28,23.11,16.39,5,-1
"101","30710099999","510.54","52.268028","104.388975","1990-01-01","2019-12-31",-5.72,-1,7.89,18,25.72,29.5,30,27.78,23,15.11,4.39,-3.89
"103","30758099999","692.5","52.026317","113.305556","1990-01-01","2019-12-31",-9.5,-1.78,8.39,17.39,25.78,31.22,32.22,29.89,24,15,3.11,-6.72
"105","31735099999","74.98","48.528044","135.188361","1990-01-01","2019-12-31",-9.78,-3.72,6,17.39,25.78,29.39,31.22,29,24.78,17.11,5.28,-8
"107","32150099999","17.98","46.888672","142.717531","1990-01-01","2019-12-31",-1,0.22,5,13.72,20.78,23.72,26.22,27.22,23.89,17.78,10,2
"109","32540099999","39.92","53.167889","158.453669","1990-01-01","2019-12-31",1,1.22,3,8,16,22,25,24,20,13,6,2
"111","33345099999","178.61","50.401944","30.451111","1990-01-01","2019-12-31",5.11,6.72,14,21.72,27.72,30,31.39,32,26.61,20,11.78,6.61
"113","33837099999","52.42","46.426767","30.676464","1990-01-01","2019-12-31",8.22,10,15,21,27,31,33,33.28,27,21.5,15,10.61
"115","34122099999","156.66","51.814211","39.229589","1990-01-01","2019-12-31",2,3,10,21,28,30,32,33,27,19,9,4
"117","34560099999","146.91","48.782528","44.345544","1990-01-01","2019-12-31",2.11,3,12.11,22,29.39,34,35.61,35.61,28.61,21.22,11,4.22
"119","34861099999","152.7","46.3666666","44.3333333","1990-01-01","2019-12-31",5,7,14,22,29,35,37,36,30,23,13,7
"121","35121099999","117.95","51.795786","55.456744","1990-01-01","2019-12-31",0,0.28,4.39,23.11,30,34.5,34.72,35.11,28.78,20.39,7,1
"123","35188099999","355.09","51.022222","71.466944","1990-01-01","2019-12-31",-2,-1.22,5.11,21.61,28,32.11,32.39,32,27,19.61,6,-0.39
"125","37549099999","427","41.75","44.7666666","1990-01-01","2019-12-31",12,15,20,25,29,33.5,36,36.28,31.78,26.11,19,13.39
"127","37864099999","3.04","40.4675","50.046667","1990-01-01","2019-12-31",11,11.28,16,22,28.61,33.11,36,36,31,25,18.28,13.39
"129","38001099999","22.25","43.86005","51.091978","1990-01-01","2019-12-31",7.22,10,16,23.39,31,36.5,38,38,32,25,16,9.28
"131","38062099999","129","44.7666667","65.5333333","1990-01-01","2019-12-31",4.28,8.78,20.11,29,34.22,39.28,40.11,39,33.61,26,15.61,7.11
"133","38264099999","77","42.45","59.6166666","1990-01-01","2019-12-31",7.61,11.78,21.5,30,35,39.39,40.72,39.39,33.89,27.28,17.39,9.72
"135","38353099999","760","42.85","74.5333333","1990-01-01","2019-12-31",11.39,13.61,21.78,27,30.39,35,37.22,36.28,32.5,26.28,19,12.72
"137","38457099999","431.9","41.257861","69.281186","1990-01-01","2019-12-31",14.78,17.28,24,30,34,38.22,40,39,35,29.22,22,17
"139","38836099999","784.86","38.543333","68.825","1990-01-01","2019-12-31",16,17.72,24.5,29.61,33.61,38.11,39.78,38.72,35.72,30.5,24.11,17.78
"141","38880099999","210.92","37.986814","58.360967","1990-01-01","2019-12-31",17.5,19.5,26,32,36,40.22,42,41,36.89,31,23,19.11
