"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"3","1025099999","9.44","69.683333","18.918919","1990-01-01","2019-12-31",-11.89,-12.22,-11,-7,-1,3,6,5,0.89,-5,-8,-10.22
"5","1384099999","207.56","60.193917","11.100361","1990-01-01","2019-12-31",-17.78,-17,-13,-4.22,0,5,8,6.28,1,-4,-9,-16
"7","2464099999","14.32","59.354372","17.94165","1990-01-01","2019-12-31",-13,-13,-9.11,-4,0.78,6,9.89,8.28,3,-2.22,-5.11,-10
"9","2845099999","196.59","66.564822","25.830411","1990-01-01","2019-12-31",-24.61,-23,-17,-10,-2.11,3.5,7,5,-0.72,-8.22,-15.89,-21.22
"11","2974099999","54.55","60.317222","24.963333","1990-01-01","2019-12-31",-19,-20,-14,-5,-0.78,5,9,7,1,-4,-8.39,-14
"13","3091099999","65.53","57.201944","-2.197778","1990-01-01","2019-12-31",-3.22,-3,-2,0,1.61,5.72,7.89,6.89,4,0,-1.89,-4
"15","3772099999","25.29","51.4775","-0.461389","1990-01-01","2019-12-31",-2.11,-2,0,1.5,4.89,8.72,11,10.5,6.89,0,0,-2
"17","3917099999","81.68","54.6575","-6.215833","1990-01-01","2019-12-31",-2,-3,-2,-0.61,1,5,7,6,3,0,-1,-3
"19","4030099999","14.63","64.13","-21.940556","1990-01-01","2019-12-31",-7.5,-7.78,-7,-4.11,0,4.5,6.78,5.78,2,-2.39,-6,-7.72
"21","4250099999","84","64.1666666","-51.75","1990-01-01","2019-12-31",-16,-18.5,-17.11,-11,-5,-0.72,1.78,2,-0.22,-6,-10.28,-14
"23","6180099999","5.18","55.617917","12.655972","1990-01-01","2019-12-31",-6.39,-6,-4,-1,3.72,7.61,10.39,10,6.78,1.89,-2,-5.22
"25","6240099999","-3.35","52.308613","4.763889","1990-01-01","2019-12-31",-4.61,-4,-1.89,1,4.11,7.72,10,10,7.28,3,-0.22,-3.28
"27","6630399999","510.23","46.9141","7.497153","1990-01-01","2019-12-31",-8,-8,-4,-1,3,7,9,9,4,1,-3,-7
"29","7149099999","88.69","48.725278","2.359444","1990-01-01","2019-12-31",-3.89,-3.28,-0.5,1.5,5.78,9,11,10.78,7,3,-0.28,-2.61
"31","7510099999","49.37","44.828335","-0.715556","1990-01-01","2019-12-31",-2.5,-2.39,0.72,3,6.5,10,12.39,12,8.61,4.61,0.72,-2
"33","8221099999","609.6","40.493556","-3.566764","1990-01-01","2019-12-31",-4,-3,-0.22,2,6,10.22,13.78,14,9,5,-1,-4
"35","8536099999","113.99","38.781311","-9.135919","1990-01-01","2019-12-31",4,5,7,9,11,14,16,17,15,12,8,5
"37","8594099999","53.94","16.741389","-22.949444","1990-01-01","2019-12-31",17.61,17,17.5,18.5,19.28,20.39,21.61,22.72,23.5,22.5,20.61,18.89
"39","10637099999","110.94","50.026421","8.543125","1990-01-01","2019-12-31",-6.5,-6,-3,0,4,9,11,10.28,6.22,1.28,-1.78,-5
"41","11036099999","182.88","48.110278","16.569722","1990-01-01","2019-12-31",-9.11,-8.28,-3.61,0.61,6,9.28,12,11,6.89,0.22,-2.72,-7.61
"43","12375099999","110.33","52.16575","20.967122","1990-01-01","2019-12-31",-13,-11.39,-6.61,-1.28,3.72,8,10,9.39,4.28,-1.5,-4.72,-11
"45","12839099999","150.87","47.436933","19.255592","1990-01-01","2019-12-31",-11,-10,-5,0,5,9,11,11,6,-1,-4,-10
"47","13272099999","102.1","44.818444","20.309139","1990-01-01","2019-12-31",-9,-7.61,-3,2,7.22,11,13,13,8,1.22,-2.22,-7.11
"49","13615099999","38.4","41.414742","19.720561","1990-01-01","2019-12-31",-4,-3,1.61,5.39,9.28,13.28,16,16,11,6,1,-3
"51","15421099999","95.7","44.570992","26.085119","1990-01-01","2019-12-31",-13,-10.22,-4,1,7,11,13.22,13,7,1,-4,-10
"53","15614099999","530.96","42.695194","23.406167","1990-01-01","2019-12-31",-13,-10.39,-5,0,5,9,11,11,5.72,0,-4.28,-10
"55","16105099999","2.13","45.505142","12.351883","1990-01-01","2019-12-31",-3.72,-3,0.5,5,10,13.89,16,15.89,11,6,0.5,-3
"57","16560099999","3.96","39.251469","9.054283","1990-01-01","2019-12-31",1,1,3.11,6,9.61,14,17,18,14,11,6,2
"59","16597099999","91.44","35.857497","14.4775","1990-01-01","2019-12-31",6.72,6,7.61,9.89,12.78,16.78,20,21,18.39,15,11.39,8
"61","16754099999","35.05","35.339719","25.180297","1990-01-01","2019-12-31",6,5.39,6.61,9,12.39,16.22,19.78,20,17,14,10.39,7
"63","17038099999","31.69","40.995108","39.789728","1990-01-01","2019-12-31",0.61,0,1.78,5,9.72,14.61,18.39,19.22,14.78,10.89,5.28,2.39
"65","17060099999","49.68","40.976892","28.821111","1990-01-01","2019-12-31",-1.11,-1.22,0.61,4.61,10,15,18.61,18.78,13.72,9,3.89,0
"67","17128099999","952.5","40.128082","32.995083","1990-01-01","2019-12-31",-15.28,-12.22,-7,-2.39,2,6.39,10,10,4,-0.78,-7,-10
"69","17170099999","1670.3","38.468219","43.3323","1990-01-01","2019-12-31",-13.5,-13,-7.28,-0.78,3.78,8,11.78,11.89,6.89,1.78,-5,-12
"73","22113099999","81.07","68.781672","32.750822","1990-01-01","2019-12-31",-30,-30,-24,-15,-3.39,1,4.61,1.89,-1,-9,-20,-26
"75","22550099999","18.89","64.600281","40.716667","1990-01-01","2019-12-31",-30.28,-29.78,-21.39,-12,-3.22,1.28,5,3.11,-0.72,-6.5,-19.22,-25
"79","23226099999","172","67.4833333","64.0166666","1990-01-01","2019-12-31",-36.11,-35.78,-30.61,-24.28,-12.78,-2,2,1,-3.5,-15.89,-30.11,-35
"81","23849099999","60.96","61.343694","73.401842","1990-01-01","2019-12-31",-38.11,-36,-27,-18,-5.5,3,8,5,-1,-11.22,-29.39,-35.11
"83","25913099999","174.95","59.910989","150.720439","1990-01-01","2019-12-31",-38,-37,-32,-22,-5,0.39,5,2,-5,-20,-31,-36
"85","26063099999","24.07","59.800292","30.262503","1990-01-01","2019-12-31",-21,-22,-14,-5,0,5,9,7,2,-3,-10,-16
"87","26730099999","196.9","54.634133","25.285767","1990-01-01","2019-12-31",-17,-16,-10,-3,2,6,9,8,2.72,-2.28,-7,-14
"89","27515599999","189.58","55.972642","37.414589","1990-01-01","2019-12-31",-21,-22,-14,-4,1,6,10,7,2,-4,-13,-18
"91","27595099999","126.18","55.606186","49.278728","1990-01-01","2019-12-31",-25.11,-25,-16.78,-4,1.5,7,10,8,2,-3.78,-15.22,-23
"93","28440099999","232.86","56.743108","60.802728","1990-01-01","2019-12-31",-30,-28.78,-20.22,-9,-2,4,7,5,-1,-7,-21,-27
"95","28698099999","94.79","54.967042","73.310514","1990-01-01","2019-12-31",-32.89,-30,-22,-8.39,-1,5.11,8.11,5.78,-0.5,-7.11,-23,-30
"97","29634099999","111.25","55.012622","82.650656","1990-01-01","2019-12-31",-34.28,-30,-23,-8,-1.5,5.61,9,5,-1,-8,-24.61,-32
"99","29846099999","308","53.7333333","87.1833333","1990-01-01","2019-12-31",-32,-28.5,-20,-8,-1.22,5.22,9.61,6,-0.39,-7.61,-22,-29
"101","30710099999","510.54","52.268028","104.388975","1990-01-01","2019-12-31",-35,-31,-24,-10,-3,3,7.78,5,-2.89,-12,-26,-32
"103","30758099999","692.5","52.026317","113.305556","1990-01-01","2019-12-31",-38.72,-35,-26.61,-12.22,-4,4,8.22,4.78,-4,-14.22,-28.78,-36
"105","31735099999","74.98","48.528044","135.188361","1990-01-01","2019-12-31",-32,-28,-20.39,-6,1.28,7,12.72,11,2.78,-6,-20.22,-29.5
"107","32150099999","17.98","46.888672","142.717531","1990-01-01","2019-12-31",-28,-28,-21,-8,-1.5,3,8,7.78,1,-5,-14,-22
"109","32540099999","39.92","53.167889","158.453669","1990-01-01","2019-12-31",-21,-21,-16,-8,-2,3,7,7,1,-5,-13,-20
"111","33345099999","178.61","50.401944","30.451111","1990-01-01","2019-12-31",-14.89,-15,-8,0,5.11,9.5,12,11,5,-1.78,-7,-12.11
"113","33837099999","52.42","46.426767","30.676464","1990-01-01","2019-12-31",-12,-11,-5,1,7,12,14,13.78,7,1,-4,-9.39
"115","34122099999","156.66","51.814211","39.229589","1990-01-01","2019-12-31",-22,-22,-14,-3,3,7,10.39,8,3,-3,-11,-14
"117","34560099999","146.91","48.782528","44.345544","1990-01-01","2019-12-31",-20.22,-20.22,-11,-1,4.39,9.78,12.89,10.78,4.28,-2.61,-11,-18
"119","34861099999","152.7","46.3666666","44.3333333","1990-01-01","2019-12-31",-15,-16,-6,1,8,13,16.39,14,7.61,0,-8,-12.28
"121","35121099999","117.95","51.795786","55.456744","1990-01-01","2019-12-31",-28,-27,-20,-5.89,1.61,7,10,7.22,1,-5,-17,-25
