"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","COLD_SZN","WARM_SZN"
"1","1025099999","9.44","69.683333","18.918919","1990-01-01","2019-12-31",-11.61,18.39
"2","1384099999","207.56","60.193917","11.100361","1990-01-01","2019-12-31",-17,24.5
"3","2464099999","14.32","59.354372","17.94165","1990-01-01","2019-12-31",-11.61,25.61
"4","2845099999","196.59","66.564822","25.830411","1990-01-01","2019-12-31",-22,22.61
"5","2974099999","54.55","60.317222","24.963333","1990-01-01","2019-12-31",-17.28,25
"6","3091099999","65.53","57.201944","-2.197778","1990-01-01","2019-12-31",-3,21
"7","3772099999","25.29","51.4775","-0.461389","1990-01-01","2019-12-31",-1.89,26.28
"8","3917099999","81.68","54.6575","-6.215833","1990-01-01","2019-12-31",-2,21.5
"9","4030099999","14.63","64.13","-21.940556","1990-01-01","2019-12-31",-7.78,15.78
"10","4250099999","84","64.1666666","-51.75","1990-01-01","2019-12-31",-16,14.72
"11","6180099999","5.18","55.617917","12.655972","1990-01-01","2019-12-31",-5.39,24
"12","6240099999","-3.35","52.308613","4.763889","1990-01-01","2019-12-31",-3,25.39
"13","6630399999","510.23","46.9141","7.497153","1990-01-01","2019-12-31",-6,29
"14","7149099999","88.69","48.725278","2.359444","1990-01-01","2019-12-31",-2.78,29.28
"15","7510099999","49.37","44.828335","-0.715556","1990-01-01","2019-12-31",-2,31.39
"16","8221099999","609.6","40.493556","-3.566764","1990-01-01","2019-12-31",-3,36.28
"17","8536099999","113.99","38.781311","-9.135919","1990-01-01","2019-12-31",5,33
"18","8594099999","53.94","16.741389","-22.949444","1990-01-01","2019-12-31",17.22,31
"19","10637099999","110.94","50.026421","8.543125","1990-01-01","2019-12-31",-6,29
"20","11036099999","182.88","48.110278","16.569722","1990-01-01","2019-12-31",-7.22,30
"21","12375099999","110.33","52.16575","20.967122","1990-01-01","2019-12-31",-10.5,28
"22","12839099999","150.87","47.436933","19.255592","1990-01-01","2019-12-31",-8,31
"23","13272099999","102.1","44.818444","20.309139","1990-01-01","2019-12-31",-6.5,32.61
"24","13615099999","38.4","41.414742","19.720561","1990-01-01","2019-12-31",-2,34.89
"25","15421099999","95.7","44.570992","26.085119","1990-01-01","2019-12-31",-9,32.72
"26","15614099999","530.96","42.695194","23.406167","1990-01-01","2019-12-31",-9,31.11
"27","16105099999","2.13","45.505142","12.351883","1990-01-01","2019-12-31",-2.78,30.39
"28","16560099999","3.96","39.251469","9.054283","1990-01-01","2019-12-31",2,33
"29","16597099999","91.44","35.857497","14.4775","1990-01-01","2019-12-31",7,33.11
"30","16754099999","35.05","35.339719","25.180297","1990-01-01","2019-12-31",6.39,31
"31","17038099999","31.69","40.995108","39.789728","1990-01-01","2019-12-31",1.61,28.22
"32","17060099999","49.68","40.976892","28.821111","1990-01-01","2019-12-31",-0.39,31.28
"33","17128099999","952.5","40.128082","32.995083","1990-01-01","2019-12-31",-10.39,32.22
"34","17170099999","1670.3","38.468219","43.3323","1990-01-01","2019-12-31",-12,29
